id,index_number,status,case_title,plaintiff,defendant,court,case_type,filing_date,wage_theft_reason,search_keyword,source_url
2231,090756/2008,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York vs CHEAP CHARLIE DELI & MARKET INC,Workers' Compensation Board of the State of New York vs CHEAP CHARLIE DELI & MARKET INC,,Kings County Supreme Court Workers Comp App for Judgement,,05/14/2008,keyword: 'compensation',Deli,DocumentList?docketId=/Nmi_PLUS_qW6s3_PLUS_X3l9XgZ0osA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2232,090757/2018,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs RALPH DELI AND GROCERY CORP,Workers' Compensation Board of the State of New York vs RALPH DELI AND GROCERY CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,08/16/2018,keyword: 'compensation',Deli,DocumentList?docketId=N6NYIFZYueJpJDjuIQT1bg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2233,090757/2024,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs NEW JERSEY DELI & GRILL CORP,Workers' Compensation Board of the State of New York vs NEW JERSEY DELI & GRILL CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,05/02/2024,keyword: 'compensation',Deli,DocumentList?docketId=dUK5UTWpp7lDaBDlAnqtBw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2234,090759/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs ABDO GOURMET DELI INC,Workers' Compensation Board of the State of New York vs ABDO GOURMET DELI INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,05/26/2022,keyword: 'compensation',Deli,DocumentList?docketId=JXQ85N81y5W6U8TFw/mVUw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2235,090761/2010,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - BAY PARKWAY DELI & GRILL CORP,Workers' Compensation Board of the State of New York,BAY PARKWAY DELI & GRILL CORP,Kings County Supreme Court Workers Comp App for Judgement,,07/28/2010,keyword: 'compensation',Deli,DocumentList?docketId=PdzZW3/5XqO3tzSbQvfL4A==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2236,090761/2011,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - BIENVENIDO A JIMENEZ DBA MOCA DELI GROCERY,Workers' Compensation Board of the State of New York,BIENVENIDO A JIMENEZ DBA MOCA DELI GROCERY,Kings County Supreme Court Workers Comp App for Judgement,,06/23/2011,keyword: 'compensation',Deli,DocumentList?docketId=CZ1HMjJtEGMob78S86Quxg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2237,090762/2013,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - MY FAVORITE DELI CORP,Workers' Compensation Board of the State of New York,MY FAVORITE DELI CORP,Kings County Supreme Court Workers Comp App for Judgement,,09/14/2013,keyword: 'compensation',Deli,DocumentList?docketId=kwNybmU3WX_PLUS_W5vjKIVA98w==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2238,090762/2014,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York - v. - AMERICAN DELI GROCERY INC,Workers' Compensation Board of the State of New York,AMERICAN DELI GROCERY INC,Kings County Supreme Court Workers Comp App for Judgement,,09/05/2014,keyword: 'compensation',Deli,DocumentList?docketId=3As8Cgr/7VH0vWqsgjWc0w==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2239,090763/2019,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs KINGSBOROUGH DELI INC,Workers' Compensation Board of the State of New York vs KINGSBOROUGH DELI INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,10/24/2019,keyword: 'compensation',Deli,DocumentList?docketId=SLLJ4sdoClib5EMdfXl8VQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2240,090764/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs STAR TWO DELI CORP,Workers' Compensation Board of the State of New York vs STAR TWO DELI CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,06/02/2022,keyword: 'compensation',Deli,DocumentList?docketId=r1Yq_PLUS_CLGUcot5BlZedmIng==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
